"";"Deaths";"Crude.Rate"
"New Hampshire-2013";185;13,987
"New Hampshire-2014";247;18,589
"New Hampshire-2015";228;17,141
"New Hampshire-2016";244;18,28
"New Jersey-1990";567;7,33
"New Jersey-1991";513;6,562
"New Jersey-1992";513;6,508
"New Jersey-1993";558;7,018
"New Jersey-1994";578;7,209
"New Jersey-1995";578;7,149
"New Jersey-1996";586;7,187
"New Jersey-1997";586;7,127
"New Jersey-1998";581;7,006
"New Jersey-1999";563;6,735
"New Jersey-2000";559;6,643
"New Jersey-2001";588;6,924
"New Jersey-2002";553;6,466
"New Jersey-2003";587;6,824
"New Jersey-2004";596;6,902
"New Jersey-2005";535;6,184
"New Jersey-2006";583;6,731
"New Jersey-2007";592;6,822
"New Jersey-2008";612;7,026
"New Jersey-2009";554;6,327
"New Jersey-2010";719;8,178
"New Jersey-2011";687;7,77
"New Jersey-2012";678;7,641
"New Jersey-2013";754;8,473
"New Jersey-2014";786;8,807
"New Jersey-2015";787;8,808
"New Jersey-2016";685;7,658
"New Mexico-1990";283;18,671
"New Mexico-1991";283;18,189
"New Mexico-1992";303;18,987
"New Mexico-1993";287;17,533
"New Mexico-1994";303;18,003
"New Mexico-1995";297;17,261
"New Mexico-1996";318;18,139
"New Mexico-1997";300;16,9
"New Mexico-1998";297;16,552
"New Mexico-1999";318;17,588
"New Mexico-2000";327;17,976
"New Mexico-2001";361;19,709
"New Mexico-2002";349;18,811
"New Mexico-2003";341;18,162
"New Mexico-2004";355;18,647
"New Mexico-2005";340;17,596
"New Mexico-2006";352;17,94
"New Mexico-2007";401;20,15
"New Mexico-2008";417;20,739
"New Mexico-2009";375;18,411
"New Mexico-2010";412;20,008
"New Mexico-2011";417;20,07
"New Mexico-2012";441;21,163
"New Mexico-2013";428;20,526
"New Mexico-2014";449;21,555
"New Mexico-2015";500;24,035
"New Mexico-2016";471;22,633
"New York-1990";1553;8,623
"New York-1991";1584;8,737
"New York-1992";1532;8,393
"New York-1993";1384;7,529
"New York-1994";1498;8,111
"New York-1995";1370;7,392
"New York-1996";1327;7,134
"New York-1997";1372;7,349
"New York-1998";1364;7,266
"New York-1999";1195;6,329
"New York-2000";1131;5,96
"New York-2001";1251;6,556
"New York-2002";1227;6,411
"New York-2003";1166;6,081
"New York-2004";1181;6,16
"New York-2005";1187;6,204
"New York-2006";1325;6,935
"New York-2007";1393;7,281
"New York-2008";1405;7,313
"New York-2009";1414;7,324
"New York-2010";1545;7,973
"New York-2011";1649;8,448
"New York-2012";1704;8,693
"New York-2013";1684;8,56
"New York-2014";1694;8,591
"New York-2015";1650;8,356
"New York-2016";1675;8,483
"North Carolina-1990";929;14,005
"North Carolina-1991";844;12,437
"North Carolina-1992";860;12,462
"North Carolina-1993";789;11,199
"North Carolina-1994";897;12,475
"North Carolina-1995";908;12,358
"North Carolina-1996";908;12,098
"North Carolina-1997";906;11,826
"North Carolina-1998";857;10,967
